BJD - 2457000,PDC_SAP flux,error,Quality Flag
1411.292131,11110638,359.39255,0
1411.29352,11132423,359.38068,512
1411.294909,11111215,359.4039,0
1411.296297,11111334,359.43375,0
1411.297686,11110595,359.41995,0
1411.299075,11108788,359.38107,0
1411.300464,11110831,359.40994,0
1411.301853,11113480,359.44907,0
1411.303242,11114975,359.50098,0
1411.304631,11104804,359.2931,0
1411.30602,11104739,359.32382,0
1411.307409,11113328,359.47314,0
1411.308798,11111585,359.43283,0
1411.310187,11110403,359.38684,0
1411.311576,11109291,359.4249,0
1411.312965,11109345,359.4063,0
1411.314354,11108716,359.4071,0
1411.315743,11110771,359.43304,0
1411.317132,11133386,359.40372,512
1411.31852,11106475,359.36942,0
1411.319909,11113824,359.471,0
1411.321298,11107878,359.4138,0
1411.322687,11108676,359.3622,0
1411.324076,11107905,359.36243,0
1411.325465,11111193,359.45978,0
1411.326854,11110822,359.42084,0
1411.328243,11109725,359.4113,0
1411.329632,11106475,359.33826,0
1411.331021,11111059,359.42114,0
1411.33241,11107400,359.37982,0
1411.333799,11109813,359.4084,0
1411.335188,11129761,359.43085,512
1411.336577,11108547,359.38367,0
1411.337966,11129306,359.3832,512
1411.339355,11110353,359.40012,0
1411.340744,11120893,359.44598,512
1411.342132,11108013,359.35605,0
1411.343521,11113423,359.45728,0
1411.34491,11108803,359.389,0
1411.346299,11106485,359.34137,0
1411.347688,11109698,359.4014,0
1411.349077,11111673,359.43607,0
1411.350466,11102764,359.24664,0
1411.351855,11109148,359.41437,0
1411.353244,11109066,359.38913,0
1411.354633,11113395,359.4588,0
1411.356022,11107232,359.34155,0
1411.357411,11110572,359.41284,0
1411.3588,11125993,359.40775,512
1411.360189,11110943,359.4204,0
1411.361578,11104991,359.32474,0
1411.362967,11109197,359.3805,0
1411.364355,11112185,359.43008,0
1411.365744,11109667,359.37112,0
1411.367133,11134201,359.36792,512
1411.368522,11113267,359.44775,0
1411.369911,11129799,359.34818,512
1411.3713,11111149,359.3934,0
1411.372689,11109646,359.3835,0
1411.374078,11110800,359.38196,0
1411.375467,11111282,359.38528,0
1411.376856,11109982,359.3858,0
1411.378245,11110310,359.39444,0
1411.379634,11111851,359.40628,0
1411.381023,11112407,359.42007,0
1411.382412,11108765,359.35663,0
1411.383801,11114656,359.49112,0
1411.38519,11111836,359.40234,0
1411.386579,11110203,359.37985,0
1411.387967,11107874,359.32697,0
1411.389356,11111127,359.35944,0
1411.390745,11107560,359.31335,0
1411.392134,11109150,359.36563,0
1411.393523,11113762,359.39456,0
1411.394912,11112869,359.40262,0
1411.396301,11113313,359.39706,0
1411.39769,11113977,359.46106,0
1411.399079,11109877,359.34525,0
1411.400468,11130506,359.4057,512
1411.401857,11110241,359.36548,0
1411.403246,11110637,359.35583,0
1411.404635,11110207,359.3406,0
1411.406024,11133467,359.40692,512
1411.407413,11114933,359.44186,0
1411.408802,11114554,359.4449,0
1411.41019,11109667,359.3357,0
1411.411579,11110580,359.37213,0
1411.412968,11115702,359.4489,0
1411.414357,11116428,359.44785,0
1411.415746,11109759,359.3505,0
1411.417135,11119521,359.4915,0
1411.418524,11113325,359.4113,0
1411.419913,11109970,359.29474,0
1411.421302,11113323,359.38437,0
1411.422691,11110448,359.31433,0
1411.42408,11115819,359.44418,0
1411.425469,11112482,359.3953,0
1411.426858,11111836,359.3805,0
1411.428247,11109133,359.28668,0
1411.429636,11113737,359.40015,0
1411.431025,11110793,359.35498,0
1411.432413,11112376,359.3803,0
1411.433802,11111743,359.34845,0
1411.435191,11114201,359.38138,0
1411.43658,11114279,359.41766,0
1411.437969,11112966,359.36432,0
1411.439358,11114335,359.4378,0
1411.440747,11140779,359.432,512
1411.442136,11117904,359.457,0
1411.443525,11111131,359.31293,0
1411.444914,11130143,359.33206,512
1411.446303,11116916,359.45834,0
1411.447692,11108745,359.30215,0
1411.449081,11115883,359.4268,0
1411.45047,11110640,359.3219,0
1411.451859,11117639,359.445,0
1411.453248,11113465,359.35794,0
1411.454637,11113740,359.3826,0
1411.456025,11113642,359.41403,0
1411.457414,11112697,359.382,0
1411.458803,11110453,359.35315,0
1411.460192,11117167,359.43814,0
1411.461581,11124677,359.30826,512
1411.46297,11112182,359.39856,0
1411.464359,11112828,359.39285,0
1411.465748,11113324,359.4146,0
1411.467137,11110714,359.35742,0
1411.468526,11113352,359.3856,0
1411.469915,11127918,359.35922,512
1411.471304,11113332,359.39365,0
1411.472693,11113159,359.37466,0
1411.474082,11110934,359.36307,0
1411.475471,11112806,359.37045,0
1411.47686,11112134,359.39548,0
1411.478248,11116037,359.4229,0
1411.479637,11109256,359.31323,0
1411.481026,11112765,359.39432,0
1411.482415,11112521,359.34583,0
1411.483804,11114796,359.42975,0
1411.485193,11114284,359.39078,0
1411.486582,11109949,359.3585,0
1411.487971,11112162,359.39752,0
1411.48936,11110084,359.34564,0
1411.490749,11109215,359.3387,0
1411.492138,11111409,359.37018,0
1411.493527,11111500,359.37616,0
1411.494916,11109102,359.33282,0
1411.496305,11114030,359.42657,0
1411.497694,11109339,359.32855,0
1411.499083,11112437,359.40146,0
1411.500471,11111138,359.36053,0
1411.50186,11108045,359.35083,0
1411.503249,11114771,359.42844,0
1411.504638,11108362,359.3263,0
1411.506027,11107883,359.33194,0
1411.507416,11113752,359.40402,0
1411.508805,11109485,359.36563,0
1411.510194,11115188,359.46783,0
1411.511583,11107628,359.30057,0
1411.512972,11123080,359.38388,512
1411.514361,11112993,359.38867,0
1411.51575,11116079,359.4507,0
1411.517139,11129666,359.38165,512
1411.518528,11114995,359.41754,0
1411.519917,11108789,359.3357,0
1411.521306,11110438,359.34256,0
1411.522694,11111568,359.3921,0
1411.524083,11111584,359.39774,0
1411.525472,11113197,359.389,0
