BJD - 2454833, Corrected Flux
3431.275317614, 0.995083938,
3431.295749558, 0.995448876,
3431.316181502, 0.995763596,
3431.336613445, 0.995760981,
3431.357045389, 0.995662505,
3431.377477231, 0.996100960,
3431.397909273, 0.994270336,
3431.418341215, 0.995265409,
3431.438773057, 0.994466795,
3431.459205098, 0.993981634,
3431.479637039, 0.994028461,
3431.500068979, 0.994240055,
3431.520500920, 0.994180988,
3431.540932860, 0.994152549,
3431.561364799, 0.994105626,
3431.581796838, 0.994129253,
3431.602228676, 0.994272895,
3431.622660715, 0.994065955,
3431.643092653, 0.994118678,
3431.663524490, 0.994065964,
3431.683956528, 0.994017331,
3432.010867474, 0.994048616,
3432.031299405, 0.995123516,
3432.051731436, 0.994222356,
3432.072163266, 0.993802071,
3432.092595096, 0.994075982,
3432.113027126, 0.994208589,
3432.133459055, 0.994177472,
3432.153890984, 0.994154387,
3432.174322913, 0.994064439,
3432.194754841, 0.994129946,
3432.235618696, 0.995020232,
3432.256050624, 0.993709513,
3432.276482450, 0.994213566,
3432.296914477, 0.995079042,
3432.317346403, 0.994540704,
3432.337778329, 0.993676247,
3432.358210254, 0.993989160,
3432.378642179, 0.994278256,
3432.399074104, 0.994412398,
3432.419506128, 0.994319810,
3432.439937952, 0.994378283,
3432.460369876, 0.994438198,
3432.480801899, 0.994307346,
3432.501233722, 0.994369492,
3432.521665644, 0.994350797,
3432.542097666, 0.994429924,
3432.562529488, 0.994412597,
3432.582961410, 0.994483026,
3432.603393431, 0.994545037,
3432.623825252, 0.994380694,
3432.644257172, 0.994451045,
3432.664689192, 0.994465452,
3432.685121012, 0.994460975,
3432.725984950, 0.995602202,
3432.746416869, 0.994631420,
3432.766848787, 0.994420089,
3432.787280705, 0.994888881,
3432.807712623, 0.994819375,
3432.828144540, 0.994796688,
3432.848576457, 0.994812477,
3432.869008373, 0.994829994,
3432.889440389, 0.994936271,
3432.909872205, 0.994943846,
3432.930304021, 0.995059879,
3432.950736036, 0.995020747,
3432.971167951, 0.995017873,
3432.991599765, 0.995040470,
3433.012031779, 0.995070685,
3433.032463693, 0.995184040,
3433.073327519, 0.995246237,
3433.093759432, 0.995147270,
3433.114191244, 0.995415801,
3433.134623256, 0.995559797,
3433.155055168, 0.995373863,
3433.175487079, 0.995171364,
3433.216350901, 0.995667996,
3433.236782811, 0.995817175,
3433.257214821, 0.995712272,
3433.277646631, 0.995757592,
3433.298078540, 0.995775015,
3433.318510549, 0.995849344,
3433.338942357, 0.995834817,
3433.359374266, 0.996065962,
3433.379806273, 0.996202016,
3433.400238081, 0.996322260,
3433.461533802, 0.996140540,
3433.481965707, 0.996945026,
3433.502397713, 0.996498988,
3433.522829519, 0.996140461,
3433.543261424, 0.996831658,
3433.563693429, 0.996273625,
3433.584125333, 0.996696184,
3433.604557137, 0.996234665,
3433.624989141, 0.996578221,
3433.645421044, 0.995948826,
3433.665852847, 0.996568173,
3433.686284850, 0.997462042,
3433.706716752, 0.996465982,
3433.727148654, 0.996438912,
3433.747580556, 0.997007956,
3433.768012357, 0.996897174,
3433.788444358, 0.996996680,
3433.808876259, 0.996987402,
3433.829308059, 0.996940326,
3433.849740059, 0.997107296,
3433.870171959, 0.996940697,
3433.890603758, 0.997097150,
3433.911035757, 0.996982754,
3433.931467656, 0.997016231,
3433.951899454, 0.997013501,
3433.972331452, 0.996994473,
3433.992763349, 0.996973585,
3434.013195246, 0.997001120,
3434.033627144, 0.997007098,
3434.054059040, 0.996913785,
3434.074490936, 0.997149763,
3434.094922932, 0.997398577,
3434.115354728, 0.997259301,
3434.135786623, 0.996873761,
3434.156218618, 0.996332477,
3434.197082307, 0.997454903,
3434.217514300, 0.996962956,
3434.237946094, 0.997101551,
3434.258377987, 0.996982778,
3434.278809980, 0.996328413,
3434.299241772, 0.997075109,
3434.319673665, 0.997856958,
3434.340105657, 0.997281011,
3434.360537448, 0.996887513,
3434.380969339, 0.996790815,
3434.401401330, 0.996977539,
3434.421833221, 0.997354515,
3434.442265011, 0.997243814,
3434.462697001, 0.997177494,
3434.483128890, 0.997110837,
3434.503560679, 0.997156506,
3434.523992668, 0.997075895,
3434.544424557, 0.996987685,
3434.564856345, 0.996630275,
3434.585288333, 0.996674600,
3434.605720120, 0.996622923,
3434.626152007, 0.996512873,
3434.646583994, 0.996511111,
3434.687447767, 0.996750388,
3434.707879653, 0.996690173,
3434.728311438, 0.997300236,
3434.748743424, 0.996843083,
3434.769175308, 0.996715800,
3434.789607093, 0.997022105,
3434.810039077, 0.997415837,
3434.830470961, 0.997011320,
3434.850902845, 0.997139052,
3434.871334728, 0.997393118,
3434.891766611, 0.996749673,
3434.912198493, 0.996861137,
3434.932630475, 0.997877587,
3434.953062257, 0.997315442,
3434.973494139, 0.996539178,
3434.993926120, 0.996604136,
3435.014357901, 0.996845638,
3435.034789782, 0.996935867,
3435.055221762, 0.997008353,
3435.075653542, 0.996995730,
3435.096085421, 0.997030790,
3435.116517401, 0.997062653,
3435.136949180, 0.996955647,
3435.177813036, 0.996205631,
3435.198244814, 0.996906467,
3435.218676692, 0.997136918,
3435.239108669, 0.997169727,
3435.259540546, 0.996877779,
3435.279972323, 0.996681677,
3435.300404299, 0.996865446,
3435.320836175, 0.997288695,
3435.341267951, 0.996733118,
3435.361699926, 0.996739817,
3435.382131701, 0.997150872,
3435.402563576, 0.996979650,
3435.422995551, 0.996708116,
3435.443427325, 0.997041079,
3435.463859198, 0.997410702,
3435.484291172, 0.996914133,
3435.504722945, 0.996973909,
3435.525154818, 0.997685804,
3435.545586790, 0.996477702,
3435.566018562, 0.997136101,
3435.586450534, 0.997896512,
3435.606882405, 0.997427193,
3435.627314177, 0.996562092,
3435.647746147, 0.996514988,
3435.668178018, 0.996760914,
3435.688609888, 0.996900216,
3435.709041758, 0.996824542,
3435.729473627, 0.996788336,
3435.749905497, 0.996816768,
3435.790769234, 0.996873505,
3435.811201103, 0.996717200,
3435.831633071, 0.996666209,
3435.852064838, 0.996625683,
3435.872496705, 0.996741687,
3435.913360439, 0.996986530,
3435.933792306, 0.997557168,
3435.954224271, 0.996529235,
3435.974656037, 0.996665999,
3435.995087902, 0.996718772,
3436.015519868, 0.996852824,
3436.035951632, 0.996750442,
3436.056383497, 0.996786613,
3436.076815461, 0.996753239,
3436.097247325, 0.996680051,
3436.117679088, 0.996629527,
3436.158542914, 0.996598982,
3436.178974677, 0.996255746,
3436.199406639, 0.996846064,
3436.219838401, 0.996676276,
3436.240270263, 0.996732422,
3436.260702224, 0.996598260,
3436.281133985, 0.996715622,
3436.301565845, 0.996676400,
3436.321997806, 0.996676486,
3436.342429566, 0.996566718,
3436.362861426, 0.996586698,
3436.403725144, 0.996652417,
3436.424157103, 0.996673303,
3436.444588961, 0.996679663,
3436.465020719, 0.996682688,
3436.485452677, 0.996724863,
3436.505884535, 0.996802851,
3436.526316392, 0.996875843,
3436.546748249, 0.996953114,
3436.567180105, 0.996741416,
3436.587611962, 0.996890205,
3436.608043918, 0.996779893,
3436.648907529, 0.995516949,
3436.669339484, 0.996433625,
3436.689771238, 0.997074537,
3436.710203093, 0.996460837,
3436.730635047, 0.996447230,
3436.751066801, 0.996682691,
3436.771498654, 0.997032464,
3436.791930607, 0.997018689,
3436.812362360, 0.996970248,
3436.832794213, 0.996774845,
3436.853226165, 0.996861911,
3436.873657917, 0.996940632,
3436.894089768, 0.996970061,
3436.914521720, 0.996861275,
3436.934953571, 0.996857689,
3436.955385322, 0.996961812,
3436.975817272, 0.996808818,
3436.996249122, 0.996973742,
3437.016680872, 0.996815219,
3437.037112821, 0.996479977,
3437.057544570, 0.997559635,
3437.077976419, 0.995750915,
3437.098408368, 0.978727586,
3437.139271964, 0.997078017,
3437.159703911, 0.996984563,
3437.180135659, 0.996974931,
3437.200567506, 0.997035087,
3437.220999453, 0.997019314,
3437.241431199, 0.996896540,
3437.261863145, 0.996996311,
3437.282294991, 0.996886531,
3437.302726736, 0.996981397,
3437.323158682, 0.996799378,
3437.343590526, 0.996733063,
3437.384454215, 0.997143335,
3437.404886059, 0.997011054,
3437.425317903, 0.997014110,
3437.445749846, 0.996982284,
3437.466181589, 0.996909828,
3437.486613432, 0.997008406,
3437.507045374, 0.996851535,
3437.527477117, 0.997128607,
3437.547908958, 0.997689493,
3437.568340900, 0.987210834,
3437.629636423, 0.997452630,
3437.650068163, 0.997111747,
3437.670500003, 0.996190407,
3437.690931943, 0.996132632,
3437.711363682, 0.996418432,
3437.731795522, 0.996977902,
3437.752227460, 0.996181757,
3437.772659199, 0.996315936,
3437.793091037, 0.996723085,
3437.813522975, 0.997601707,
3437.833954813, 0.997182526,
3437.854386550, 0.997629537,
3437.874818487, 0.996952333,
3437.895250224, 0.996986215,
3437.915682060, 0.997431834,
3437.936113997, 0.997303178,
3437.956545733, 0.997330754,
3437.976977568, 0.997240112,
3437.997409503, 0.997429247,
3438.017841239, 0.997355727,
3438.038273073, 0.997439513,
3438.058705007, 0.997393083,
3438.079136742, 0.997491419,
3438.120000509, 0.996649604,
3438.140432242, 0.997202934,
3438.160864175, 0.996521286,
3438.181296008, 0.996994965,
3438.201727840, 0.996488127,
3438.222159672, 0.996791647,
3438.242591504, 0.997798604,
3438.263023335, 0.998060491,
3438.283455266, 0.997462834,
3438.303886997, 0.997454786,
3438.324318827, 0.997615073,
3438.344750758, 0.997996986,
3438.365182488, 0.997886395,
3438.385614318, 0.997897644,
3438.406046247, 0.997744219,
3438.426477976, 0.997706345,
3438.446909805, 0.997816273,
3438.467341733, 0.997795117,
3438.487773461, 0.997793852,
3438.508205289, 0.997787322,
3438.528637217, 0.997728511,
3438.549068944, 0.998059186,
3438.569500771, 0.997815546,
3438.610364425, 0.997182381,
3438.630796251, 0.997515703,
3438.651228177, 0.997234332,
3438.671659902, 0.997850199,
3438.692091728, 0.998689431,
3438.712523652, 0.998048955,
3438.732955377, 0.997903218,
3438.753387202, 0.997978296,
3438.773819126, 0.998346192,
3438.794250850, 0.998303657,
3438.814682673, 0.998273515,
3438.835114597, 0.998232326,
3438.855546320, 0.998421425,
3438.875978142, 0.998345167,
3438.896410065, 0.998461342,
3438.916841787, 0.998187686,
3438.937273709, 0.998356813,
3438.957705530, 0.998278709,
3438.978137252, 0.998367152,
3438.998569172, 0.998317058,
3439.019000993, 0.998415160,
3439.039432814, 0.997802847,
3439.059864634, 0.998647346,
3439.100728273, 0.998416678,
3439.121160193, 0.998288273,
3439.141591912, 0.998343525,
3439.162023730, 0.998180237,
3439.182455649, 0.998215984,
3439.202887367, 0.998246987,
3439.223319185, 0.998197097,
3439.243751102, 0.998040584,
3439.264182820, 0.997990065,
3439.284614637, 0.997929635,
3439.305046553, 0.997698035,
3439.345910086, 0.997529557,
3439.366341902, 0.998227648,
3439.386773717, 0.997333697,
3439.407205533, 0.997071406,
3439.427637447, 0.997065918,
3439.448069162, 0.997539977,
3439.468500977, 0.997780929,
3439.488932891, 0.997283836,
3439.509364605, 0.997577096,
3439.529796418, 0.997499646,
3439.550228332, 0.998032522,
3439.570660045, 0.997851377,
3439.591091858, 0.997160499,
3439.611523770, 0.997334346,
3439.631955482, 0.997548266,
3439.652387294, 0.997480097,
3439.672819206, 0.997254913,
3439.693250917, 0.997201759,
3439.713682828, 0.997014631,
3439.734114639, 0.997049088,
3439.754546350, 0.996963331,
3439.774978260, 0.997062912,
3439.795410070, 0.996929097,
3439.836273689, 0.996791047,
3439.856705498, 0.997130889,
3439.877137307, 0.996313891,
3439.897569116, 0.997083189,
3439.918000924, 0.996622119,
3439.938432732, 0.996666287,
3439.958864640, 0.996792796,
3439.979296347, 0.997645841,
3439.999728155, 0.996909807,
3440.020160062, 0.996855131,
3440.040591768, 0.996962423,
3440.081455481, 0.997236192,
3440.101887187, 0.996790335,
3440.122318992, 0.996949186,
3440.142750898, 0.996625116,
3440.163182603, 0.996689917,
3440.183614407, 0.997068041,
3440.204046212, 0.996710761,
3440.224478016, 0.996280622,
3440.244909820, 0.996042782,
3440.265341624, 0.996198602,
3440.285773427, 0.996389430,
3440.306205230, 0.996280088,
3440.326637133, 0.996060454,
3440.347068836, 0.996087085,
3440.367500638, 0.995953505,
3440.387932540, 0.996022310,
3440.408364242, 0.996015325,
3440.428796043, 0.995948274,
3440.449227944, 0.995750448,
3440.469659645, 0.995892742,
3440.490091546, 0.995900086,
3440.510523347, 0.995767691,
