time, flux, empty
3268.802985268, 1.002145562,
3268.823420734, 1.001914443,
3268.843856400, 1.001795118,
3268.864291967, 1.001718591,
3268.884727533, 1.001579338,
3268.905163100, 1.001395704,
3268.925598667, 1.000981169,
3268.946034235, 1.000768634,
3268.966469802, 1.001140519,
3268.986905370, 1.001522898,
3269.007340938, 1.001543608,
3269.027776606, 1.001523643,
3269.048212074, 1.001558280,
3269.068647743, 1.001582951,
3269.089083311, 1.001494599,
3269.109518780, 1.001464578,
3269.129954450, 1.001429295,
3269.150390019, 1.001494499,
3269.170825488, 1.001454692,
3269.191261158, 1.001408439,
3269.211696628, 1.001327437,
3269.232132198, 1.001353432,
3269.252567869, 1.001375443,
3269.293439010, 1.001137408,
3269.313874581, 1.001194617,
3269.334310052, 1.001162187,
3269.354745724, 1.001066863,
3269.375181295, 1.001029946,
3269.395616867, 1.000976170,
3269.416052439, 1.000928629,
3269.436488011, 1.000936092,
3269.456923584, 1.000897704,
3269.477359156, 1.000894519,
3269.497794729, 1.000854995,
3269.518230402, 1.000895535,
3269.538665975, 1.000795405,
3269.559101449, 1.000810989,
3269.579537122, 1.000791814,
3269.599972696, 1.000778849,
3269.620408170, 1.000661043,
3269.640843844, 1.000725356,
3269.661279419, 1.000563333,
3269.681714894, 1.000393363,
3269.702150568, 1.000673935,
3269.722586143, 1.001166895,
3269.743021819, 0.999818415,
3269.783892870, 1.000422192,
3269.804328545, 1.000404894,
3269.824764021, 1.000429713,
3269.845199598, 1.000378949,
3269.865635174, 1.000391897,
3269.886070751, 1.000399105,
3269.906506427, 1.000286389,
3269.926941904, 1.000348091,
3269.947377482, 1.000236812,
3269.967813159, 1.000219894,
3269.988248637, 1.000265684,
3270.029119892, 1.000263023,
3270.049555470, 1.000096687,
3270.069990949, 1.000070356,
3270.090426627, 1.000305915,
3270.110862206, 0.999715618,
3270.131297785, 0.999871119,
3270.151733364, 1.000249071,
3270.172168943, 1.000057765,
3270.192604623, 1.000086915,
3270.213040103, 1.000166151,
3270.233475683, 1.000129677,
3270.294782424, 0.999921024,
3270.315218104, 0.999901641,
3270.335653585, 0.999973273,
3270.356089266, 1.000002803,
3270.376524847, 0.999999838,
3270.396960329, 0.999978757,
3270.417396010, 0.999941755,
3270.437831592, 0.999863233,
3270.458267074, 0.999889083,
3270.478702757, 0.999971140,
3270.499138339, 0.999987627,
3270.519573922, 0.999964207,
3270.540009504, 0.999917539,
3270.560445087, 0.999965734,
3270.580880670, 0.999892112,
3270.621751837, 0.999892654,
3270.642187421, 0.999885707,
3270.662623005, 0.999865139,
3270.683058589, 0.999885112,
3270.703494173, 0.999833544,
3270.723929758, 0.999749073,
3270.764801027, 0.999918205,
3270.785236512, 0.999934745,
3270.805672198, 0.999898800,
3270.826107783, 0.999878613,
3270.846543269, 0.999886811,
3270.866978954, 0.999941736,
3270.887414540, 0.999914096,
3270.928285713, 0.999921995,
3270.948721299, 0.999907672,
3270.969156786, 0.999933997,
3271.010028060, 0.999909107,
3271.030463747, 1.000089514,
3271.050899235, 0.999966905,
3271.071334822, 1.000015857,
3271.091770510, 1.000030562,
3271.112205998, 1.000179332,
3271.132641586, 1.000192489,
3271.153077274, 1.000043433,
3271.173512763, 1.000112759,
3271.193948352, 1.000162803,
3271.214384041, 1.000173515,
3271.255255219, 1.000055989,
3271.275690808, 1.000101775,
3271.296126298, 1.000199190,
3271.316561988, 1.000066673,
3271.336997578, 0.999660449,
3271.357433068, 1.000114772,
3271.377868758, 1.000327068,
3271.398304349, 1.000224593,
3271.418739839, 1.000253305,
3271.439175530, 1.000312779,
3271.459611121, 1.000332178,
3271.480046813, 1.000344819,
3271.500482304, 1.000307501,
3271.520917896, 1.000364064,
3271.541353587, 1.000336972,
3271.561789079, 1.000363506,
3271.582224671, 1.000319889,
3271.602660364, 1.000365525,
3271.623095856, 1.000365659,
3271.643531449, 1.000343593,
3271.663967142, 1.000360678,
3271.684402735, 1.000391723,
3271.704838328, 1.000163319,
3271.745709515, 1.000326946,
3271.766145108, 1.000411448,
3271.786580702, 1.000341930,
3271.807016296, 1.000348932,
3271.827451991, 1.000333896,
3271.847887485, 1.000302239,
3271.868323080, 1.000255857,
3271.888758774, 1.000262890,
3271.909194269, 1.000314764,
3271.929629964, 1.000122701,
3271.950065460, 1.000160468,
3271.990936751, 1.000143031,
3272.011372246, 1.000189783,
3272.031807842, 1.000114034,
3272.052243538, 1.000122420,
3272.072679035, 1.000058907,
3272.093114631, 1.000046927,
