   MJD (day)      ,RV(m/s)  ,Err(m/s),  Instrument
   56945.29554    , -3.6    ,   1.4  ,       TOU
   56947.29174    , -2.2    ,   1.4  ,       TOU
   56948.34443    ,  3.1    ,   1.4  ,       TOU
   56950.32858    ,  0.3    ,   2.2  ,       TOU
   56951.36162    , -4.4    ,   1.5  ,       TOU
   56952.32579    , -3.2    ,   1.3  ,       TOU
   56953.32188    , -5.7    ,   1.2  ,       TOU
   56954.32684    , -7.9    ,   1.2  ,       TOU
   56958.30646    , -2.1    ,   1.6  ,       TOU
   56959.32328    , -3.4    ,   1.6  ,       TOU
   56960.30294    , -2.8    ,   1.5  ,       TOU
   56966.28415    , -3.5    ,   1.5  ,       TOU
   56969.27967    , -2.7    ,   2.0  ,       TOU
   56970.27500    , -2.6    ,   1.7  ,       TOU
   56971.31261    , -2.4    ,   1.5  ,       TOU
   56972.26841    ,  1.2    ,   1.6  ,       TOU
   56975.26269    , -0.8    ,   1.6  ,       TOU
   56977.25913    ,  8.2    ,   1.9  ,       TOU
   56978.25921    ,  2.2    ,   1.6  ,       TOU
   56979.25894    ,  4.3    ,   1.7  ,       TOU
   56980.37984    ,  2.7    ,   1.6  ,       TOU
   56981.24778    ,  3.5    ,   1.7  ,       TOU
   56982.30965    ,  3.3    ,   1.6  ,       TOU
   56984.24060    ,  3.1    ,   1.6  ,       TOU
   56985.34707    ,  2.0    ,   1.8  ,       TOU
   56987.25198    ,  3.5    ,   1.1  ,       TOU
   56988.22573    ,  1.3    ,   1.5  ,       TOU
   56989.22217    ,  2.5    ,   1.7  ,       TOU
   56990.21987    ,  3.1    ,   1.7  ,       TOU
   56991.21981    ,  0.9    ,   1.7  ,       TOU
   56992.29443    ,  1.1    ,   1.8  ,       TOU
   56998.21861    , -1.3    ,   1.7  ,       TOU
   57002.23779    , -7.2    ,   1.7  ,       TOU
   57003.31031    , -2.7    ,   1.8  ,       TOU
   57011.27839    ,  2.2    ,   1.7  ,       TOU
   57014.27260    ,  3.7    ,   1.7  ,       TOU
   57020.24725    ,  5.3    ,   1.8  ,       TOU
   57021.27243    ,  4.1    ,   1.7  ,       TOU
   57026.24106    ,  3.7    ,   1.7  ,       TOU
   57027.25753    ,  3.8    ,   1.6  ,       TOU
   57028.25715    ,  2.7    ,   1.6  ,       TOU
   57029.27307    ,  1.9    ,   1.6  ,       TOU
   57037.21102    ,  0.8    ,   1.3  ,       TOU
   57039.22449    , -8.9    ,   1.3  ,       TOU
   57040.19262    , -4.4    ,   1.3  ,       TOU
   57041.17803    , -0.4    ,   1.3  ,       TOU
   57043.20783    , -3.2    ,   1.6  ,       TOU
   57044.18265    , -1.3    ,   1.6  ,       TOU
   57045.20699    ,  0.0    ,   1.3  ,       TOU
   57056.18214    ,  1.8    ,   1.2  ,       TOU
   57057.17890    ,  4.0    ,   1.3  ,       TOU
   57058.17859    ,  1.3    ,   1.4  ,       TOU
   57059.12909    ,  2.4    ,   1.4  ,       TOU
   57060.17028    ,  1.7    ,   1.4  ,       TOU
   57061.12708    , -0.4    ,   1.5  ,       TOU
   57062.12367    ,  3.5    ,   1.6  ,       TOU
   57063.12093    ,  4.5    ,   1.6  ,       TOU
   57064.12063    ,  2.8    ,   1.6  ,       TOU
   57065.11789    ,  4.2    ,   1.5  ,       TOU
   57071.15990    , -4.1    ,   1.5  ,       TOU
   57077.12127    , -2.8    ,   1.7  ,       TOU
   57078.12123    , -3.5    ,   1.8  ,       TOU
   57079.11865    , -4.3    ,   1.8  ,       TOU
   57080.11808    , -6.0    ,   1.8  ,       TOU
   57081.12330    , -6.6    ,   1.5  ,       TOU
   57083.11672    , -7.1    ,   1.8  ,       TOU
   57309.38729    , -2.9    ,   1.7  ,       TOU
   57318.34434    , -0.6    ,   1.6  ,       TOU
   57319.33590    ,  0.9    ,   1.6  ,       TOU
   57320.34878    , -0.8    ,   1.6  ,       TOU
   57321.43659    ,  0.7    ,   1.5  ,       TOU
   57322.33623    ,  0.3    ,   1.5  ,       TOU
   57326.46629    ,  4.6    ,   1.5  ,       TOU
   57327.31650    ,  4.2    ,   1.6  ,       TOU
   57329.31716    ,  0.8    ,   1.6  ,       TOU
   57332.29581    ,  1.1    ,   1.6  ,       TOU
   57333.28539    ,  2.7    ,   1.5  ,       TOU
   57334.29104    ,  0.8    ,   1.5  ,       TOU
   57335.28875    , -2.5    ,   1.7  ,       TOU
   57336.28918    , -1.5    ,   1.6  ,       TOU
   57337.28547    , -4.7    ,   1.7  ,       TOU
   57338.32876    , -3.1    ,   1.7  ,       TOU
   57339.37219    , -4.2    ,   1.7  ,       TOU
   57340.28100    , -5.8    ,   1.7  ,       TOU
   57344.25147    , -4.5    ,   1.7  ,       TOU
   57345.28697    , -2.1    ,   1.8  ,       TOU
   57346.26093    , -3.5    ,   1.5  ,       TOU
   57347.27432    , -2.0    ,   1.4  ,       TOU
   57348.27986    , -3.1    ,   1.4  ,       TOU
   57350.26373    , -2.5    ,   1.5  ,       TOU
   57351.30134    , -1.9    ,   1.9  ,       TOU
   57354.25544    , -2.5    ,   2.0  ,       TOU
   57355.25520    , -3.8    ,   1.5  ,       TOU
   57356.26534    , -1.7    ,   1.8  ,       TOU
   57357.24665    , -2.8    ,   1.7  ,       TOU
   57358.28677    ,  1.7    ,   1.7  ,       TOU
   57359.29854    , -0.1    ,   1.7  ,       TOU
   57359.30417    ,  0.5    ,   1.8  ,       TOU
   57360.21094    , -0.5    ,   1.8  ,       TOU
   57362.20699    , -1.5    ,   1.8  ,       TOU
   57364.20303    ,  2.0    ,   1.8  ,       TOU
   57700.39560    ,  6.3    ,   1.7  ,       TOU
   57702.24310    ,  5.5    ,   1.6  ,       TOU
   57702.36630    ,  5.2    ,   1.6  ,       TOU
   57702.44560    ,  4.0    ,   1.6  ,       TOU
   57703.39120    ,  2.9    ,   1.7  ,       TOU
   57704.36590    ,  3.1    ,   1.7  ,       TOU
   57705.35910    ,  2.3    ,   1.7  ,       TOU
   57705.45240    ,  2.2    ,   1.6  ,       TOU
   57710.27730    ,  0.4    ,   1.6  ,       TOU
   57711.27390    ,  1.1    ,   1.5  ,       TOU
   57711.35450    , -1.1    ,   1.5  ,       TOU
   57712.42580    ,  1.5    ,   1.7  ,       TOU
   57717.34460    , -6.8    ,   1.7  ,       TOU
   57718.34290    ,  0.6    ,   1.7  ,       TOU
   57723.27270    , -1.7    ,   2.0  ,       TOU
   57723.32720    ,  4.6    ,   1.5  ,       TOU
   57724.18060    , -4.3    ,   1.6  ,       TOU
   57726.28970    , -4.0    ,   1.6  ,       TOU
   57726.32100    , -5.2    ,   1.9  ,       TOU
   57727.17230    ,  3.0    ,   1.6  ,       TOU
   57727.24070    , -1.9    ,   1.6  ,       TOU
   57727.32850    , -3.0    ,   1.6  ,       TOU
   57728.18030    , -2.8    ,   1.8  ,       TOU
   57728.29210    , -4.1    ,   1.7  ,       TOU
   57728.32580    ,  0.1    ,   1.7  ,       TOU
   57731.18090    , -1.0    ,   1.8  ,       TOU
   57731.27290    , -3.1    ,   1.8  ,       TOU
   57731.34190    ,  0.2    ,   1.9  ,       TOU
   57732.32940    , -0.4    ,   1.9  ,       TOU
   57736.22740    ,  6.9    ,   2.1  ,       TOU
   57737.25020    ,  4.0    ,   2.0  ,       TOU
   57738.28040    ,  3.4    ,   2.0  ,       TOU
   52235.33300    ,  0.0    ,   1.3  ,      Keck
   52236.35549    , -0.4    ,   1.4  ,      Keck
   52237.39810    ,  3.5    ,   1.3  ,      Keck
   52307.23757    , -1.5    ,   1.5  ,      Keck
   52536.49956    , -0.4    ,   1.5  ,      Keck
   52601.49297    , -3.0    ,   1.3  ,      Keck
   52855.63402    ,  2.8    ,   1.5  ,      Keck
   52855.63536    , -2.3    ,   1.4  ,      Keck
   53239.62840    , -0.4    ,   1.3  ,      Keck
   53302.45245    ,  2.7    ,   1.2  ,      Keck
   53302.45311    ,  0.2    ,   1.3  ,      Keck
   53339.46462    , -3.0    ,   1.0  ,      Keck
   53339.46542    , -3.1    ,   1.1  ,      Keck
   53339.46609    , -3.1    ,   1.1  ,      Keck
   53368.46706    , -2.8    ,   1.1  ,      Keck
   53368.46769    , -0.1    ,   1.0  ,      Keck
   53368.46831    , -1.0    ,   1.2  ,      Keck
   53426.30457    , -2.8    ,   1.0  ,      Keck
   53426.30521    , -5.1    ,   0.9  ,      Keck
   53426.30595    , -2.7    ,   0.9  ,      Keck
   53692.43450    , -4.4    ,   1.0  ,      Keck
   53692.43535    , -5.7    ,   1.1  ,      Keck
   53692.43620    , -4.1    ,   1.0  ,      Keck
   53692.43765    , -3.4    ,   1.0  ,      Keck
   53692.43831    , -4.4    ,   1.1  ,      Keck
   53692.54310    , -2.8    ,   0.9  ,      Keck
   53692.54385    , -2.9    ,   1.0  ,      Keck
   53692.54448    , -2.2    ,   1.0  ,      Keck
   53693.55481    , -1.8    ,   1.0  ,      Keck
   53693.55543    , -5.3    ,   1.1  ,      Keck
   53693.55607    , -2.9    ,   1.0  ,      Keck
   53694.44654    , -2.2    ,   1.2  ,      Keck
   53694.44706    , -2.8    ,   1.0  ,      Keck
   53694.44760    , -4.9    ,   1.1  ,      Keck
   53694.45230    , -4.2    ,   1.0  ,      Keck
   53694.45288    , -4.5    ,   1.0  ,      Keck
   53694.45348    , -3.1    ,   1.0  ,      Keck
   53695.31689    , -1.9    ,   1.0  ,      Keck
   53695.31749    , -2.6    ,   1.1  ,      Keck
   53695.31809    , -2.1    ,   1.0  ,      Keck
   53696.40799    , -4.9    ,   1.1  ,      Keck
   53696.40860    , -3.3    ,   1.1  ,      Keck
   53696.40923    , -1.4    ,   1.0  ,      Keck
   53724.43427    , -2.8    ,   1.0  ,      Keck
   53724.43490    , -2.2    ,   1.1  ,      Keck
   53724.43553    , -2.6    ,   1.2  ,      Keck
   53724.43616    , -1.7    ,   1.1  ,      Keck
   53724.43678    , -1.8    ,   1.0  ,      Keck
   54396.39745    ,-16.0    ,   1.6  ,      Keck
   54397.51354    ,  1.3    ,   1.1  ,      Keck
   54399.46904    ,  0.2    ,   1.3  ,      Keck
   54399.46973    ,  0.0    ,   1.2  ,      Keck
   54429.45297    ,  2.3    ,   1.2  ,      Keck
   54453.34272    , -1.8    ,   2.8  ,      Keck
   54453.34721    , -0.4    ,   1.2  ,      Keck
   54454.36238    ,  2.6    ,   1.3  ,      Keck
   54454.36311    ,  0.8    ,   1.2  ,      Keck
   54455.52066    , -1.1    ,   1.3  ,      Keck
   54458.53418    , -2.1    ,   1.7  ,      Keck
   54460.31701    ,  0.6    ,   1.5  ,      Keck
   54461.35278    , -4.9    ,   1.4  ,      Keck
   54461.35483    ,  2.4    ,   1.4  ,      Keck
   54490.31656    ,  0.3    ,   1.1  ,      Keck
   54491.33772    ,  1.4    ,   1.0  ,      Keck
   54544.29929    , -3.9    ,   1.3  ,      Keck
   54545.23641    , -3.8    ,   1.1  ,      Keck
   54546.23156    , -1.8    ,   1.3  ,      Keck
   54689.63951    ,  4.5    ,   1.2  ,      Keck
   54689.64009    ,  1.9    ,   1.4  ,      Keck
   54701.63632    ,  1.9    ,   1.0  ,      Keck
   54778.44659    ,  1.8    ,   1.3  ,      Keck
   54778.44715    ,  3.3    ,   1.2  ,      Keck
   54778.44773    ,  3.1    ,   1.2  ,      Keck
   54779.50090    ,  1.0    ,   1.3  ,      Keck
   54779.50148    ,  1.0    ,   1.1  ,      Keck
   54779.50207    ,  0.8    ,   1.2  ,      Keck
   54810.47102    ,  1.6    ,   1.3  ,      Keck
   54819.55211    ,  6.4    ,   1.4  ,      Keck
   54819.55274    ,  8.3    ,   1.3  ,      Keck
   54819.55353    ,  4.7    ,   1.3  ,      Keck
   54819.55431    ,  6.5    ,   1.4  ,      Keck
   54819.55495    ,  4.1    ,   1.2  ,      Keck
   54820.34813    , -0.3    ,   1.2  ,      Keck
   54820.34961    ,  2.4    ,   1.2  ,      Keck
   54820.35082    ,  2.7    ,   1.3  ,      Keck
   54820.35235    ,  3.1    ,   1.2  ,      Keck
   54821.36264    , -1.5    ,   1.1  ,      Keck
   54821.36323    , -1.1    ,   1.0  ,      Keck
   54821.36384    ,  0.5    ,   1.2  ,      Keck
   54821.36442    ,  0.0    ,   1.0  ,      Keck
   54821.36506    , -0.2    ,   1.3  ,      Keck
   54821.36566    , -4.3    ,   1.1  ,      Keck
   54821.36627    , -2.0    ,   1.2  ,      Keck
   54821.36690    , -1.4    ,   1.1  ,      Keck
   54822.36272    , -2.0    ,   1.2  ,      Keck
   54822.36330    ,  1.0    ,   1.2  ,      Keck
   54822.36388    ,  3.4    ,   1.4  ,      Keck
   54822.36447    ,  1.0    ,   1.1  ,      Keck
   54822.36519    , -2.4    ,   1.2  ,      Keck
   54822.36576    , -0.7    ,   1.1  ,      Keck
   54822.36635    , -2.0    ,   1.3  ,      Keck
   54864.40418    ,  7.2    ,   1.2  ,      Keck
   54864.40477    ,  1.4    ,   1.4  ,      Keck
   54864.40537    ,  4.3    ,   1.2  ,      Keck
   54867.22696    ,  8.9    ,   1.4  ,      Keck
   54867.22860    ,  2.7    ,   1.2  ,      Keck
   54872.36759    ,  1.4    ,   1.3  ,      Keck
   54872.36874    , -2.4    ,   1.2  ,      Keck
   54872.36961    ,  0.6    ,   1.3  ,      Keck
   54872.37051    , -1.7    ,   1.1  ,      Keck
   54872.37154    , -1.2    ,   1.2  ,      Keck
   54872.37243    , -1.7    ,   1.2  ,      Keck
   54928.22177    , -0.9    ,   1.3  ,      Keck
   54929.21831    , -4.1    ,   1.3  ,      Keck
   55110.57716    , -1.0    ,   1.5  ,      Keck
   55134.59894    ,  1.9    ,   1.3  ,      Keck
   55166.45110    , -1.7    ,   1.3  ,      Keck
   55166.45171    , -1.5    ,   1.2  ,      Keck
   55166.45233    ,  0.2    ,   1.2  ,      Keck
   55166.45295    , -3.8    ,   1.3  ,      Keck
   55166.45355    , -1.6    ,   1.3  ,      Keck
   55200.30924    , -0.0    ,   1.2  ,      Keck
   55200.30986    , -0.7    ,   1.2  ,      Keck
   55200.31050    ,  0.8    ,   1.1  ,      Keck
   55200.31111    ,  0.2    ,   1.2  ,      Keck
   55200.31175    , -2.6    ,   1.2  ,      Keck
   55256.20843    , -4.0    ,   1.1  ,      Keck
   55257.28260    , -5.7    ,   1.1  ,      Keck
   55257.28323    , -3.6    ,   1.1  ,      Keck
   55257.28384    , -2.9    ,   1.1  ,      Keck
   55257.28462    , -3.0    ,   1.1  ,      Keck
   55257.28527    , -1.6    ,   1.0  ,      Keck
   55260.21245    , -2.0    ,   1.2  ,      Keck
   55410.63712    ,  4.8    ,   1.1  ,      Keck
   55410.63768    ,  5.2    ,   1.0  ,      Keck
   55410.63825    ,  2.0    ,   1.1  ,      Keck
   55411.63495    ,  5.2    ,   1.2  ,      Keck
   55411.63550    ,  2.5    ,   1.1  ,      Keck
   55411.63607    ,  4.5    ,   1.1  ,      Keck
   55425.64207    ,  2.6    ,   1.0  ,      Keck
   55425.64264    ,  1.2    ,   1.2  ,      Keck
   55425.64318    ,  0.8    ,   1.2  ,      Keck
   55426.64488    ,  0.3    ,   1.1  ,      Keck
   55426.64543    ,  1.6    ,   1.0  ,      Keck
   55426.64596    ,  2.3    ,   1.0  ,      Keck
   55433.64784    ,  3.4    ,   1.1  ,      Keck
   55433.64838    ,  5.4    ,   1.2  ,      Keck
   55433.64895    ,  2.1    ,   1.1  ,      Keck
   55434.64352    ,  0.1    ,   1.1  ,      Keck
   55434.64407    , -0.1    ,   1.1  ,      Keck
   55434.64462    ,  4.3    ,   1.2  ,      Keck
   55435.64161    ,  1.6    ,   1.1  ,      Keck
   55435.64216    ,  1.0    ,   1.3  ,      Keck
   55435.64274    ,  0.4    ,   1.2  ,      Keck
   55436.63220    ,  2.8    ,   1.1  ,      Keck
   55436.63276    , -0.1    ,   1.0  ,      Keck
   55436.63332    ,  0.0    ,   1.1  ,      Keck
   55437.64708    , -2.0    ,   1.2  ,      Keck
   55437.64762    , -2.4    ,   1.2  ,      Keck
   55437.64816    ,  1.9    ,   1.1  ,      Keck
   55438.64439    , -2.8    ,   1.2  ,      Keck
   55438.64492    , -0.8    ,   1.1  ,      Keck
   55438.64548    ,  2.6    ,   1.2  ,      Keck
   55439.64808    ,  0.1    ,   1.2  ,      Keck
   55439.64866    , -1.9    ,   1.1  ,      Keck
   55439.64921    ,  1.4    ,   1.1  ,      Keck
   55455.51424    ,  4.8    ,   1.0  ,      Keck
   55455.51479    ,  3.7    ,   1.1  ,      Keck
   55455.51535    ,  8.5    ,   1.2  ,      Keck
   55462.61874    ,  0.6    ,   1.0  ,      Keck
   55462.61932    ,  2.8    ,   1.1  ,      Keck
   55462.61991    ,  2.2    ,   1.0  ,      Keck
   55462.62050    ,  4.2    ,   1.0  ,      Keck
   55462.62119    ,  5.3    ,   1.0  ,      Keck
   55462.62178    ,  2.7    ,   1.0  ,      Keck
   55462.62238    ,  3.6    ,   1.0  ,      Keck
   55464.57280    ,  3.2    ,   1.2  ,      Keck
   55464.57337    ,  4.9    ,   1.3  ,      Keck
   55464.57391    ,  1.3    ,   1.3  ,      Keck
   55468.62568    ,  1.8    ,   1.1  ,      Keck
   55468.62625    ,  2.4    ,   1.1  ,      Keck
   55468.62681    , -0.0    ,   1.2  ,      Keck
   55490.45118    , -4.7    ,   1.2  ,      Keck
   55490.45175    , -2.5    ,   1.2  ,      Keck
   55490.45229    , -2.6    ,   1.2  ,      Keck
   55515.56165    , -1.6    ,   1.2  ,      Keck
   55515.56226    , -4.8    ,   1.3  ,      Keck
   55515.56299    , -3.9    ,   1.2  ,      Keck
   55515.56359    , -3.2    ,   1.2  ,      Keck
   55515.56418    , -3.0    ,   1.2  ,      Keck
   55522.42384    , -4.4    ,   1.1  ,      Keck
   55522.42441    , -2.4    ,   1.4  ,      Keck
   55522.42498    , -3.5    ,   1.2  ,      Keck
   55542.50175    ,  6.0    ,   1.4  ,      Keck
   55542.50232    , 10.0    ,   1.4  ,      Keck
   55542.50291    ,  7.2    ,   1.3  ,      Keck
   55548.50309    , 12.0    ,   1.1  ,      Keck
   55548.50373    ,  7.2    ,   1.2  ,      Keck
   55548.50439    ,  5.1    ,   1.2  ,      Keck
   55548.50501    ,  5.8    ,   1.2  ,      Keck
   55548.50566    ,  9.1    ,   1.2  ,      Keck
   55578.42804    ,  5.3    ,   1.1  ,      Keck
   55578.42891    ,  6.3    ,   1.1  ,      Keck
   55578.42981    ,  6.1    ,   1.2  ,      Keck
   55578.43091    ,  5.8    ,   1.2  ,      Keck
   55578.43190    ,  7.4    ,   1.1  ,      Keck
   55614.24767    ,  0.3    ,   1.2  ,      Keck
   55614.24847    , -2.2    ,   1.2  ,      Keck
   55614.24911    ,  0.7    ,   1.1  ,      Keck
   55633.30091    ,  0.2    ,   1.2  ,      Keck
   55633.30148    , -1.0    ,   1.3  ,      Keck
   55633.30207    ,  0.2    ,   1.3  ,      Keck
   55637.26187    , -6.6    ,   1.1  ,      Keck
   55637.26251    , -6.5    ,   1.1  ,      Keck
   55637.26314    , -5.1    ,   1.1  ,      Keck
   55637.26375    , -3.4    ,   1.0  ,      Keck
   55637.26436    , -4.7    ,   1.1  ,      Keck
   55791.63503    ,  3.7    ,   1.0  ,      Keck
   55792.63880    ,  5.0    ,   1.1  ,      Keck
   55794.64083    ,  0.4    ,   1.1  ,      Keck
   55796.63449    ,  0.4    ,   1.2  ,      Keck
   55797.64262    ,  1.6    ,   1.1  ,      Keck
   55808.63613    ,  3.9    ,   1.2  ,      Keck
   56018.21632    , -2.1    ,   1.4  ,      Keck
   56166.65068    ,  0.2    ,   1.3  ,      Keck
   56166.65125    , -1.5    ,   1.5  ,      Keck
   56518.63871    ,  4.1    ,   1.2  ,      Keck
   56523.64912    , -1.2    ,   1.0  ,      Keck
   56529.61535    , -0.5    ,   1.2  ,      Keck
   55852.31626    ,  1.7    ,   1.1  ,       PFS
   55852.31753    ,  0.0    ,   1.2  ,       PFS
   55852.31876    , -3.0    ,   1.1  ,       PFS
   55852.32000    ,  0.7    ,   1.1  ,       PFS
   56175.39728    ,  0.3    ,   0.9  ,       PFS
   56285.17699    , -2.3    ,   0.8  ,       PFS
   56285.17840    , -1.2    ,   0.8  ,       PFS
   56285.17978    , -1.4    ,   0.8  ,       PFS
   56285.18118    , -1.5    ,   0.8  ,       PFS
   56293.19496    ,  1.0    ,   0.8  ,       PFS
   56293.19630    ,  0.4    ,   0.9  ,       PFS
   56293.19755    ,  0.4    ,   0.9  ,       PFS
   56293.19881    ,  1.2    ,   0.8  ,       PFS
   56348.05627    , -5.4    ,   0.9  ,       PFS
   56348.05763    , -6.1    ,   0.8  ,       PFS
   56348.05892    , -5.5    ,   0.8  ,       PFS
   56508.43322    , -0.1    ,   1.0  ,       PFS
   56508.43469    , -0.5    ,   1.0  ,       PFS
   56508.43612    ,  0.5    ,   1.0  ,       PFS
   56508.43752    ,  2.9    ,   1.0  ,       PFS
   56550.36215    ,  3.6    ,   1.0  ,       PFS
   56550.36336    ,  2.4    ,   0.9  ,       PFS
   56550.36450    ,  0.5    ,   1.0  ,       PFS
   56550.36567    ,  1.3    ,   1.0  ,       PFS
   56611.25498    ,  0.7    ,   1.1  ,       PFS
   56611.25619    ,  1.3    ,   1.1  ,       PFS
   56611.25741    ,  1.3    ,   1.0  ,       PFS
   56703.06427    , -6.5    ,   0.9  ,       PFS
   56703.06554    , -5.6    ,   0.9  ,       PFS
   56703.06683    , -4.0    ,   0.9  ,       PFS
   56703.06810    , -4.8    ,   0.9  ,       PFS
   56735.00911    , -4.1    ,   0.9  ,       PFS
   56735.01047    , -6.6    ,   0.9  ,       PFS
   56879.40675    , -2.0    ,   0.9  ,       PFS
   56879.40802    , -1.6    ,   1.0  ,       PFS
   56879.40931    , -2.1    ,   0.9  ,       PFS
   56879.41059    , -1.5    ,   0.9  ,       PFS
   57028.11087    ,  1.6    ,   0.9  ,       PFS
   57028.11236    ,  3.0    ,   0.9  ,       PFS
   57028.11395    ,  2.8    ,   0.9  ,       PFS
   57064.06133    ,  3.1    ,   0.9  ,       PFS
   57064.06259    ,  2.1    ,   0.9  ,       PFS
   57064.06388    ,  1.5    ,   0.9  ,       PFS
   57064.06515    ,  2.1    ,   0.9  ,       PFS
   57069.04015    , -2.0    ,   0.9  ,       PFS
   57069.04142    , -3.6    ,   1.0  ,       PFS
   57069.04270    , -0.1    ,   0.9  ,       PFS
   57069.04399    , -1.2    ,   0.9  ,       PFS
   57264.36887    , -1.4    ,   0.9  ,       PFS
   57264.37031    , -0.1    ,   0.9  ,       PFS
   57264.37162    , -0.1    ,   1.0  ,       PFS
   57320.28230    ,  7.3    ,   1.0  ,       PFS
   57320.28365    ,  5.0    ,   1.0  ,       PFS
   57320.28494    ,  6.4    ,   1.0  ,       PFS
   57320.28624    ,  5.7    ,   1.0  ,       PFS
   57326.28473    ,  4.2    ,   1.1  ,       PFS
   57326.28634    ,  8.4    ,   1.1  ,       PFS
   57326.28778    ,  4.6    ,   1.1  ,       PFS
   57394.15515    ,  1.6    ,   1.0  ,       PFS
   57394.15661    ,  2.4    ,   1.0  ,       PFS
   57394.15808    ,  2.8    ,   1.0  ,       PFS
   57452.03590    , -1.3    ,   0.8  ,       PFS
   57452.03754    , -2.2    ,   0.8  ,       PFS
   57452.03895    , -3.4    ,   0.9  ,       PFS
   57766.07231    , -1.7    ,   1.0  ,       PFS
   57766.07360    , -3.0    ,   1.0  ,       PFS
   57766.07488    , -1.9    ,   1.0  ,       PFS
   57766.07616    , -3.5    ,   1.0  ,       PFS
   56941.30711    ,  2.2    ,   1.5  ,    CHIRON
   56941.31054    ,  3.4    ,   1.5  ,    CHIRON
   56941.31463    ,  2.5    ,   1.6  ,    CHIRON
   56942.29556    ,  3.5    ,   1.5  ,    CHIRON
   56942.29920    ,  2.1    ,   1.6  ,    CHIRON
   56942.30289    ,  2.2    ,   1.5  ,    CHIRON
   56943.25367    ,  3.3    ,   1.6  ,    CHIRON
   56943.25739    ,  2.6    ,   1.7  ,    CHIRON
   56943.26103    ,  3.3    ,   1.6  ,    CHIRON
   56944.27611    ,  2.8    ,   1.4  ,    CHIRON
   56944.27965    ,  2.2    ,   1.5  ,    CHIRON
   56944.28345    ,  9.4    ,   1.6  ,    CHIRON
   56946.35268    ,  2.3    ,   2.8  ,    CHIRON
   56946.36028    , -1.9    ,   3.2  ,    CHIRON
   56948.25213    , -2.8    ,   1.5  ,    CHIRON
   56948.25578    ,  4.9    ,   1.5  ,    CHIRON
   56948.25947    , -2.4    ,   1.5  ,    CHIRON
   56949.31210    , -1.3    ,   1.6  ,    CHIRON
   56949.31566    , -1.7    ,   1.5  ,    CHIRON
   56949.31926    ,  1.1    ,   1.4  ,    CHIRON
   56950.20625    , -2.7    ,   1.5  ,    CHIRON
   56950.21005    , -3.7    ,   1.6  ,    CHIRON
   56950.21365    , -3.6    ,   1.4  ,    CHIRON
   56951.25930    , -2.6    ,   1.5  ,    CHIRON
   56951.26305    , -4.9    ,   1.6  ,    CHIRON
   56951.26653    ,  0.1    ,   1.6  ,    CHIRON
   56952.23343    , -1.9    ,   1.5  ,    CHIRON
   56952.23712    , -4.9    ,   1.5  ,    CHIRON
   56952.24081    , -1.4    ,   1.6  ,    CHIRON
   56953.21025    , -4.7    ,   1.6  ,    CHIRON
   56953.21355    , -6.1    ,   2.1  ,    CHIRON
   56953.21805    ,  0.8    ,   2.4  ,    CHIRON
   56954.19877    , -3.1    ,   1.4  ,    CHIRON
   56954.20253    , -1.6    ,   1.4  ,    CHIRON
   56954.20614    , -0.1    ,   1.4  ,    CHIRON
   56955.20472    , -1.0    ,   1.5  ,    CHIRON
   56955.20846    , -3.5    ,   1.6  ,    CHIRON
   56955.21220    ,  1.1    ,   1.4  ,    CHIRON
   56956.22448    ,  0.5    ,   1.6  ,    CHIRON
   56956.22810    ,  0.2    ,   1.4  ,    CHIRON
   56956.23166    , -0.6    ,   1.4  ,    CHIRON
   56957.35571    ,  0.3    ,   1.5  ,    CHIRON
   56957.35928    , -0.1    ,   1.4  ,    CHIRON
   56957.36308    ,  0.3    ,   1.5  ,    CHIRON
   56958.32591    , -2.7    ,   1.3  ,    CHIRON
   56958.32958    ,  0.6    ,   1.4  ,    CHIRON
   56958.33330    , -1.1    ,   1.5  ,    CHIRON
   56959.20760    , -2.0    ,   1.4  ,    CHIRON
   56959.21134    , -3.0    ,   1.5  ,    CHIRON
   56959.21485    , -2.3    ,   1.6  ,    CHIRON
   56960.27517    , -0.4    ,   1.5  ,    CHIRON
   56960.27895    ,  0.1    ,   1.7  ,    CHIRON
   56960.28260    , -3.2    ,   1.6  ,    CHIRON
   56961.22512    ,  2.3    ,   1.8  ,    CHIRON
   56961.22917    , -0.2    ,   1.5  ,    CHIRON
   56961.23289    , -4.0    ,   1.6  ,    CHIRON
   56961.28853    , -2.3    ,   1.4  ,    CHIRON
   56961.29222    ,  0.7    ,   1.5  ,    CHIRON
   56961.29593    ,  0.0    ,   1.5  ,    CHIRON
   56964.32798    , -2.2    ,   1.5  ,    CHIRON
   56964.33164    , -3.1    ,   1.6  ,    CHIRON
   56964.33523    , -3.4    ,   1.5  ,    CHIRON
   56965.21396    , -5.4    ,   1.6  ,    CHIRON
   56965.21760    , -1.4    ,   1.4  ,    CHIRON
   56965.22133    , -3.8    ,   1.4  ,    CHIRON
   56966.18767    , -4.8    ,   1.5  ,    CHIRON
   56966.19135    , -3.2    ,   1.6  ,    CHIRON
   56966.19509    , -2.4    ,   1.5  ,    CHIRON
   56967.20782    , -2.1    ,   1.6  ,    CHIRON
   56967.21170    , -0.5    ,   1.5  ,    CHIRON
   56967.21528    , -0.3    ,   1.7  ,    CHIRON
   56968.21295    , -1.1    ,   1.6  ,    CHIRON
