 MJD (day),     S_index,     Source
46007.9667,0.174,      MW
46007.9681,0.174,      MW
46009.9351,0.183,      MW
46009.936,0.186,      MW
46009.9375,0.184,      MW
46020.9014,0.175,      MW
46020.9026,0.169,      MW
46020.9037,0.177,      MW
46022.837,0.182,      MW
46022.8384,0.177,      MW
46022.8401,0.176,      MW
46068.7527,0.187,      MW
46068.7537,0.186,      MW
46068.7546,0.184,      MW
46070.7612,0.178,      MW
46070.7625,0.182,      MW
46070.7637,0.179,      MW
46086.0305,0.179,      MW
46086.0371,0.178,      MW
46086.0435,0.179,      MW
46109.6873,0.185,      MW
46109.6892,0.185,      MW
46109.6907,0.187,      MW
46110.6409,0.185,      MW
46110.6421,0.188,      MW
46110.6431,0.183,      MW
46112.6821,0.183,      MW
46112.6831,0.183,      MW
46112.6841,0.187,      MW
46120.6714,0.176,      MW
46120.6726,0.178,      MW
46120.6738,0.172,      MW
46122.6343,0.174,      MW
46122.6353,0.174,      MW
46122.6365,0.176,      MW
46329.9875,0.198,      MW
46329.9883,0.201,      MW
46329.989,0.202,      MW
46339.9624,0.199,      MW
46339.9634,0.195,      MW
46339.9644,0.196,      MW
46341.9316,0.196,      MW
46341.9324,0.197,      MW
46341.9333,0.196,      MW
46349.9348,0.198,      MW
46349.9358,0.2,      MW
46349.937,0.2,      MW
46356.9624,0.206,      MW
46356.9631,0.204,      MW
46356.9641,0.203,      MW
46358.9287,0.206,      MW
46358.9297,0.203,      MW
46358.9304,0.202,      MW
46362.9666,0.194,      MW
46362.9675,0.202,      MW
46362.968,0.2,      MW
46365.9419,0.202,      MW
46365.9429,0.203,      MW
46365.9438,0.204,      MW
46367.9451,0.204,      MW
46367.9458,0.202,      MW
46367.9465,0.203,      MW
46370.9668,0.201,      MW
46370.9675,0.2,      MW
46370.9683,0.201,      MW
46372.9648,0.199,      MW
46372.9658,0.205,      MW
46372.9668,0.201,      MW
46374.927,0.201,      MW
46374.928,0.2,      MW
46374.929,0.198,      MW
46376.895,0.199,      MW
46376.896,0.201,      MW
46376.897,0.198,      MW
46384.9287,0.202,      MW
46384.9299,0.2,      MW
46384.9312,0.199,      MW
46389.8962,0.201,      MW
46389.8972,0.198,      MW
46389.8982,0.199,      MW
46391.896,0.201,      MW
46391.897,0.2,      MW
46391.8977,0.198,      MW
46414.8052,0.203,      MW
46414.8059,0.2,      MW
46414.8066,0.205,      MW
46417.7874,0.201,      MW
46417.7881,0.203,      MW
46417.7891,0.204,      MW
46419.8098,0.212,      MW
46419.8105,0.197,      MW
46419.8115,0.201,      MW
46421.7854,0.203,      MW
46421.7864,0.199,      MW
46421.7871,0.201,      MW
46426.8074,0.203,      MW
46426.8083,0.198,      MW
46426.8091,0.2,      MW
46437.7769,0.193,      MW
46437.7776,0.195,      MW
46437.7788,0.194,      MW
46439.7754,0.196,      MW
46439.7761,0.201,      MW
46439.7769,0.201,      MW
46442.769,0.201,      MW
46442.77,0.199,      MW
46442.771,0.197,      MW
46444.7258,0.203,      MW
46444.7268,0.197,      MW
46444.7285,0.196,      MW
46448.717,0.201,      MW
46448.718,0.198,      MW
46448.7188,0.198,      MW
46450.7556,0.204,      MW
46450.7566,0.205,      MW
46450.7576,0.202,      MW
46455.7231,0.205,      MW
46455.7239,0.209,      MW
46455.7249,0.202,      MW
46457.7468,0.207,      MW
46457.7478,0.205,      MW
46457.7485,0.206,      MW
46463.749,0.197,      MW
46463.7498,0.196,      MW
46463.7505,0.204,      MW
46467.6938,0.192,      MW
46467.6946,0.197,      MW
46467.6953,0.194,      MW
46470.708,0.19,      MW
46470.7087,0.191,      MW
46470.7097,0.198,      MW
46483.6902,0.191,      MW
46483.6909,0.193,      MW
46483.6917,0.196,      MW
46485.6475,0.197,      MW
46485.6487,0.197,      MW
46485.6497,0.196,      MW
46491.6816,0.203,      MW
46491.6826,0.198,      MW
46491.6836,0.194,      MW
46495.687,0.198,      MW
46495.6887,0.196,      MW
46495.6902,0.194,      MW
46497.6492,0.196,      MW
46497.6501,0.2,      MW
46497.6511,0.196,      MW
46686.0168,0.209,      MW
46686.0176,0.216,      MW
46686.0183,0.212,      MW
46691.0244,0.222,      MW
46691.0266,0.219,      MW
46691.0283,0.225,      MW
46706.9976,0.199,      MW
46706.9988,0.201,      MW
46706.9995,0.2,      MW
46708.9995,0.201,      MW
46709.0002,0.203,      MW
46709.0012,0.199,      MW
46711.9966,0.209,      MW
46711.9973,0.207,      MW
46711.998,0.209,      MW
46716.989,0.21,      MW
46716.99,0.211,      MW
46716.991,0.21,      MW
46720.9749,0.205,      MW
46720.9761,0.207,      MW
46720.9773,0.208,      MW
46722.9316,0.212,      MW
46722.9324,0.215,      MW
46722.9331,0.209,      MW
46725.8977,0.207,      MW
46725.8987,0.206,      MW
46725.8997,0.207,      MW
46727.8838,0.209,      MW
46727.8848,0.21,      MW
46727.8855,0.212,      MW
46731.9431,0.207,      MW
46731.9438,0.212,      MW
46731.9448,0.208,      MW
46736.9275,0.202,      MW
46736.9292,0.208,      MW
46736.9312,0.205,      MW
46740.9036,0.202,      MW
46740.9043,0.203,      MW
46740.905,0.196,      MW
46744.9106,0.196,      MW
46744.9114,0.202,      MW
46744.9121,0.192,      MW
46746.9272,0.197,      MW
46746.9282,0.194,      MW
46746.929,0.198,      MW
46755.8926,0.212,      MW
46755.8933,0.213,      MW
46755.894,0.21,      MW
46766.8726,0.231,      MW
46766.8733,0.223,      MW
46766.8743,0.225,      MW
46769.791,0.235,      MW
46769.7932,0.231,      MW
46769.7947,0.231,      MW
46772.8047,0.23,      MW
46772.8064,0.23,      MW
46772.8081,0.235,      MW
46774.8018,0.228,      MW
46774.8032,0.231,      MW
46774.8047,0.224,      MW
46776.7825,0.23,      MW
46776.7832,0.228,      MW
46776.7842,0.229,      MW
46782.813,0.219,      MW
46782.8137,0.221,      MW
46782.8145,0.214,      MW
46793.7415,0.218,      MW
46793.7429,0.226,      MW
46793.7446,0.222,      MW
46793.7463,0.227,      MW
46795.709,0.234,      MW
46795.7124,0.222,      MW
46795.7185,0.228,      MW
46798.7417,0.227,      MW
46798.7427,0.224,      MW
46798.7437,0.224,      MW
46803.7415,0.218,      MW
46803.7424,0.224,      MW
46803.7434,0.22,      MW
46805.7605,0.209,      MW
46805.7637,0.219,      MW
46805.7673,0.212,      MW
46807.7175,0.221,      MW
46807.7185,0.23,      MW
46807.7192,0.234,      MW
46810.7493,0.216,      MW
46810.7505,0.225,      MW
46810.7515,0.221,      MW
46813.6934,0.221,      MW
46813.6956,0.22,      MW
46813.6973,0.209,      MW
46816.6919,0.213,      MW
46816.6943,0.206,      MW
46816.697,0.214,      MW
46828.6907,0.235,      MW
46828.6917,0.234,      MW
46828.6926,0.225,      MW
46831.6978,0.229,      MW
46831.7,0.225,      MW
46831.7026,0.233,      MW
46843.6719,0.227,      MW
46843.6731,0.222,      MW
46843.6741,0.225,      MW
46846.6506,0.213,      MW
46846.6519,0.223,      MW
46846.6533,0.221,      MW
47054.9973,0.223,      MW
47054.998,0.233,      MW
47054.9985,0.228,      MW
47061.0208,0.228,      MW
47061.0217,0.223,      MW
47061.0225,0.226,      MW
47071.95,0.23,      MW
47071.9509,0.231,      MW
47071.9519,0.227,      MW
47075.9717,0.224,      MW
47075.9771,0.22,      MW
47075.9778,0.222,      MW
47077.9846,0.225,      MW
47077.9854,0.223,      MW
47077.9863,0.224,      MW
47082.9697,0.238,      MW
47082.9705,0.242,      MW
47082.9714,0.247,      MW
47085.9624,0.219,      MW
47085.9636,0.215,      MW
47085.9648,0.215,      MW
47087.9893,0.221,      MW
47087.9902,0.219,      MW
47087.991,0.22,      MW
47107.8997,0.235,      MW
47107.9004,0.231,      MW
47107.9014,0.228,      MW
47109.823,0.233,      MW
47109.8237,0.235,      MW
47109.8245,0.236,      MW
47118.9146,0.221,      MW
47118.9158,0.222,      MW
47118.9165,0.22,      MW
47122.884,0.225,      MW
47122.8848,0.219,      MW
47122.8855,0.227,      MW
47124.9124,0.221,      MW
47124.9133,0.223,      MW
47124.9146,0.216,      MW
47127.9192,0.222,      MW
47127.9199,0.222,      MW
47127.9207,0.224,      MW
47128.9011,0.225,      MW
47128.9019,0.227,      MW
47128.9028,0.22,      MW
47131.8469,0.223,      MW
47131.8477,0.224,      MW
47131.8486,0.224,      MW
47139.9065,0.218,      MW
47139.9072,0.219,      MW
47139.9082,0.218,      MW
47141.876,0.215,      MW
47141.8767,0.215,      MW
47141.8777,0.219,      MW
47150.7822,0.228,      MW
47150.783,0.231,      MW
47150.7837,0.234,      MW
47153.7131,0.226,      MW
47153.7141,0.228,      MW
47153.7153,0.232,      MW
47162.8364,0.222,      MW
47162.8379,0.227,      MW
47162.8396,0.221,      MW
47167.7246,0.216,      MW
47167.7253,0.216,      MW
47167.7266,0.21,      MW
47169.7329,0.217,      MW
47169.7346,0.218,      MW
47169.7356,0.215,      MW
47173.7251,0.22,      MW
47173.7261,0.209,      MW
47173.7273,0.213,      MW
47180.7036,0.222,      MW
47180.7046,0.219,      MW
47180.7061,0.222,      MW
47184.7261,0.22,      MW
47184.7271,0.228,      MW
47184.7278,0.226,      MW
47199.7378,0.218,      MW
47199.7388,0.225,      MW
47199.7397,0.224,      MW
47203.6658,0.225,      MW
47203.667,0.227,      MW
47203.6685,0.222,      MW
47205.7114,0.219,      MW
47205.7131,0.225,      MW
47205.7148,0.22,      MW
47208.6833,0.219,      MW
47208.6843,0.219,      MW
47208.6858,0.215,      MW
47214.6619,0.226,      MW
47214.6633,0.215,      MW
47214.6646,0.216,      MW
47216.636,0.221,      MW
47216.6372,0.218,      MW
47216.6384,0.218,      MW
47223.6274,0.215,      MW
47223.6284,0.217,      MW
47223.6296,0.228,      MW
47229.6663,0.218,      MW
47229.6675,0.219,      MW
47229.6685,0.221,      MW
47436.0151,0.235,      MW
47436.0166,0.229,      MW
47436.0183,0.228,      MW
47445.9326,0.22,      MW
47445.9336,0.217,      MW
47445.9343,0.221,      MW
47449.9253,0.224,      MW
47449.926,0.229,      MW
47449.927,0.223,      MW
47451.9807,0.227,      MW
47451.9822,0.223,      MW
47451.9834,0.229,      MW
47455.9373,0.225,      MW
47455.9385,0.223,      MW
47455.9395,0.227,      MW
47459.9404,0.208,      MW
47459.9417,0.213,      MW
47459.9429,0.211,      MW
47462.9617,0.207,      MW
47462.9631,0.208,      MW
47462.9646,0.207,      MW
47465.9067,0.206,      MW
47465.908,0.207,      MW
47465.9089,0.21,      MW
47470.8813,0.22,      MW
47470.8823,0.215,      MW
47470.8833,0.216,      MW
47474.8577,0.21,      MW
47474.8589,0.212,      MW
47474.8601,0.213,      MW
47478.8569,0.216,      MW
47478.8582,0.221,      MW
47478.8594,0.22,      MW
47484.9106,0.227,      MW
47484.9121,0.223,      MW
47484.9136,0.225,      MW
47492.8872,0.238,      MW
47492.8887,0.234,      MW
47492.8904,0.236,      MW
47495.7773,0.232,      MW
47495.7783,0.225,      MW
47495.7795,0.233,      MW
47499.8076,0.222,      MW
47499.8091,0.219,      MW
47499.8103,0.219,      MW
47508.7959,0.205,      MW
47508.7969,0.208,      MW
47508.7981,0.202,      MW
47517.7627,0.221,      MW
47517.7639,0.219,      MW
47517.7654,0.219,      MW
47528.7651,0.233,      MW
47528.7664,0.234,      MW
47528.7678,0.231,      MW
47537.7029,0.234,      MW
47537.7046,0.225,      MW
47537.7058,0.236,      MW
47540.6541,0.218,      MW
47540.6548,0.227,      MW
47540.6555,0.222,      MW
47542.7236,0.221,      MW
47542.7249,0.219,      MW
47542.7258,0.212,      MW
47554.6887,0.226,      MW
47554.6902,0.218,      MW
47554.6917,0.22,      MW
47569.678,0.223,      MW
47569.6792,0.232,      MW
47569.6804,0.223,      MW
47573.6555,0.219,      MW
47573.6567,0.221,      MW
47573.6577,0.228,      MW
47805.011,0.231,      MW
47805.012,0.231,      MW
47805.0132,0.226,      MW
47807.0137,0.232,      MW
47807.0146,0.228,      MW
47807.0161,0.227,      MW
47810.0132,0.231,      MW
47810.0142,0.232,      MW
47810.0154,0.231,      MW
47817.929,0.234,      MW
47817.9302,0.223,      MW
47817.9314,0.228,      MW
47832.9021,0.216,      MW
47832.9033,0.217,      MW
47832.9048,0.215,      MW
47837.9072,0.221,      MW
47837.9089,0.222,      MW
47837.9106,0.225,      MW
47845.9187,0.233,      MW
47845.9202,0.228,      MW
47845.9216,0.233,      MW
47863.8784,0.221,      MW
47863.8796,0.226,      MW
47863.8806,0.22,      MW
47869.8008,0.231,      MW
47869.802,0.227,      MW
