BJD - 2454833,Corrected Flux,error
2473.349642962, 1.000273290,
2473.370075348, 1.000265000,
2473.390507633, 1.000197536,
2473.410939818, 1.000305087,
2473.431372202, 1.000300927,
2473.451804486, 1.000230009,
2473.472236669, 1.000280323,
2473.492669052, 1.000271217,
2473.513101334, 1.000270472,
2473.533533515, 1.000217336,
2473.553965897, 1.000225940,
2473.594830357, 1.000304197,
2473.615262737, 1.000276952,
2473.635695016, 1.000221697,
2473.656127195, 1.000285617,
2473.676559573, 1.000225546,
2473.696991850, 1.000253412,
2473.717424128, 1.000221730,
2473.737856404, 1.000246114,
2473.758288680, 1.000187621,
2473.778720955, 1.000220871,
2473.799153231, 1.000222866,
2473.840017779, 1.000280826,
2473.860450152, 1.000283907,
2473.880882325, 1.000286448,
2473.901314698, 1.000289592,
2473.921746970, 1.000298743,
2473.942179141, 1.000220606,
2473.962611512, 1.000213217,
2473.983043783, 1.000113263,
2474.003475953, 1.000159652,
2474.023908322, 1.000198324,
2474.044340491, 1.000265249,
2474.085205127, 1.000172388,
2474.105637294, 1.000259423,
2474.126069561, 1.000223774,
2474.146501927, 1.000202355,
2474.166934093, 1.000134477,
2474.187366359, 1.000144288,
2474.207798724, 1.000195322,
2474.228230988, 1.000138485,
2474.248663152, 1.000145919,
2474.269095515, 1.000214520,
2474.289527778, 1.000131671,
2474.309959940, 1.000177466,
2474.330392302, 1.000210681,
2474.350824563, 1.000277204,
2474.371256824, 1.000330178,
2474.391689084, 1.000295412,
2474.412121344, 1.000324238,
2474.432553703, 1.000242529,
2474.452985862, 1.000729850,
2474.473418120, 1.000217784,
2474.493850478, 1.000135357,
2474.514282635, 1.000097538,
2474.534714892, 1.000307863,
2474.575579404, 1.000174985,
2474.596011659, 1.000175963,
2474.616444014, 1.000216253,
2474.636876168, 1.000361090,
2474.657308421, 1.000199682,
2474.677740775, 1.000247179,
2474.698173027, 1.000246035,
2474.718605179, 1.000271116,
2474.739037531, 1.000176177,
2474.759469682, 1.000327280,
2474.779901933, 1.000235141,
2474.820766533, 1.000224326,
2474.841198682, 1.000249994,
2474.861631031, 1.000247329,
2474.882063179, 1.000287134,
2474.902495526, 1.000253205,
2474.922927773, 1.000202999,
2474.943359920, 1.000212680,
2474.963792266, 1.000275628,
2474.984224512, 1.000177502,
2475.004656657, 1.000118475,
2475.025089001, 1.000326107,
2475.065953489, 1.000311515,
2475.086385732, 1.000194424,
2475.106817975, 1.000191693,
2475.168114699, 1.000157130,
2475.188546940, 1.000166583,
2475.208979180, 1.000212913,
2475.229411420, 1.000276655,
2475.249843659, 1.000252863,
2475.270275997, 1.000269027,
2475.311140373, 1.000225348,
2475.331572710, 1.000220216,
2475.352004847, 1.000190426,
2475.372437183, 1.000235968,
2475.392869419, 1.000242164,
2475.413301554, 1.000219405,
2475.433733888, 1.000204896,
2475.454166122, 1.000199926,
2475.474598256, 1.000194169,
2475.495030589, 1.000211103,
2475.556327285, 1.000264560,
2475.576759416, 1.000171315,
2475.597191647, 1.000225092,
2475.617623977, 1.000242593,
2475.638056207, 1.000240744,
2475.658488336, 1.000244935,
2475.678920664, 1.000291663,
2475.699352892, 1.000177729,
2475.719785020, 1.000198492,
2475.740217347, 1.000158969,
2475.760649574, 1.000209238,
2475.781081700, 1.000260715,
2475.801514026, 1.000212705,
2475.821946250, 1.000166855,
2475.842378375, 1.000317455,
2475.862810699, 1.000218612,
2475.883242923, 1.000216602,
2475.903675246, 1.000209338,
2475.924107368, 1.000274165,
2475.944539591, 1.000251880,
2475.964971912, 1.000172987,
2475.985404033, 1.000240574,
2476.005836254, 1.000294903,
2476.046700694, 1.000202527,
2476.067132913, 1.000246867,
2476.087565232, 1.000249932,
2476.107997450, 1.000189870,
2476.128429568, 1.000205840,
2476.148861885, 1.000206539,
2476.169294102, 1.000158944,
2476.189726218, 1.000174070,
2476.210158533, 1.000227996,
2476.230590748, 1.000232818,
2476.251022863, 1.000204917,
2476.291887391, 1.000180992,
2476.312319505, 1.000180786,
2476.332751817, 1.000161083,
2476.353184029, 1.000197565,
2476.373616141, 1.000188736,
2476.394048453, 1.000165912,
2476.414480563, 1.000223836,
2476.434912874, 1.000794448,
2476.455345083, 1.000075405,
2476.475777293, 1.000100186,
2476.496209501, 1.000216748,
2476.516641709, 1.000171503,
2476.537073917, 1.000163675,
2476.557506125, 1.000207821,
2476.577938331, 1.000214316,
2476.598370538, 1.000188436,
2476.618802843, 1.000223031,
2476.639234949, 1.000162336,
2476.659667154, 1.000240452,
2476.680099458, 1.000129985,
2476.700531562, 1.000242234,
2476.720963766, 1.001136161,
2476.741396068, 1.001157904,
2476.782260373, 1.000090292,
2476.802692674, 1.000117228,
2476.823124775, 1.000218436,
2476.843556975, 1.000144144,
2476.863989276, 1.000164858,
2476.884421375, 1.000141856,
2476.904853674, 1.000177757,
2476.925285872, 1.000185155,
2476.945718070, 1.000141341,
2476.966150268, 1.000136777,
2476.986582465, 1.000187562,
2477.047879053, 1.000167848,
2477.068311248, 1.000182514,
2477.088743443, 1.000201028,
2477.109175636, 1.000184263,
2477.129607730, 1.000199865,
2477.150040023, 1.000123239,
2477.170472216, 1.000186646,
2477.190904308, 1.000145976,
2477.211336600, 1.000170732,
2477.231768791, 1.000215221,
2477.272633171, 1.000217806,
2477.293065361, 1.000231850,
2477.313497550, 1.000198790,
2477.333929739, 1.000188352,
2477.354361927, 1.000169221,
2477.374794115, 1.000145973,
2477.395226302, 1.000229422,
2477.415658489, 1.000179478,
2477.436090775, 1.000143009,
2477.456522961, 1.000191206,
2477.476955047, 1.000176785,
2477.497387331, 1.000158271,
2477.517819516, 1.000176643,
2477.538251599, 1.000186124,
2477.558683883, 1.000215469,
2477.579116066, 1.000207651,
2477.599548148, 1.000182450,
2477.619980430, 1.000169402,
2477.640412611, 1.000167658,
2477.660844693, 1.000231386,
2477.681276973, 1.000109864,
2477.701709153, 1.000138261,
2477.722141232, 1.000194437,
2477.763005690, 1.000167232,
2477.783437868, 1.000183547,
2477.803870046, 1.000193546,
2477.824302222, 1.000190992,
2477.844734299, 1.000164181,
2477.865166575, 1.000175212,
2477.885598751, 1.000247367,
2477.906030826, 1.000195801,
2477.926463101, 1.000185391,
2477.946895275, 1.000219615,
2477.967327548, 1.000261585,
2477.987759622, 1.000212263,
2478.008191794, 1.000220580,
2478.028624067, 1.000170005,
2478.049056139, 1.000197233,
2478.069488310, 1.000167639,
2478.089920581, 1.000213119,
2478.110352651, 1.000110785,
2478.130784821, 1.000203811,
2478.151217090, 1.000155494,
2478.171649159, 1.000181588,
2478.253377830, 1.000229831,
2478.273810096, 1.000198859,
2478.294242262, 1.000226391,
2478.314674328, 1.000230816,
